"StationID","Replicate","SampleDate","Latitude","Longitude","SampleDepth","Species","Abundance","Salinity","Stratum","Exclude"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Theora lubrica",2,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Amphideutopus oculatus",1,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Amphipholis squamata",3,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Amphiuridae",2,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Anoplodactylus viridintestinalis",4,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Asthenothaerus diegensis",2,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Chondrochelia dubia Cmplx",1,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Crepidula fornicata",1,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Crucibulum spinosum",2,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Diplocirrus sp SD1",3,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Dissiminassa dissimilis",1,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Dorvillea (Schistomeringos) annulata",1,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Edwardsia californica",9,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Erileptus spinosus",3,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Exogone lourei",62,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Fabricinuda limnicola",13,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Glycera americana",2,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Grandidierella japonica",1,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Heterophoxus ellisi",2,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Heteroserolis carinata",3,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Leitoscoloplos sp A",26,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Lumbrineris latreilli",2,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Lyonsia californica",1,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Mediomastus sp",23,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Megasyllis nipponica",1,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Metasychis disparidentatus",1,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Microcosmus squamiger",2,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Monocorophium acherusicum",17,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Musculista senhousia",26,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Mysidae",1,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Paracerceis sculpta",1,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Paranemertes californica",1,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Petaloclymene pacifica",18,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Prionospio heterobranchia",10,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Pseudopolydora paucibranchiata",17,NA,"Ports","No"
